,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Car7,0.8195216086824557,0.7665871992012993,0.8813481415842042,inf,5.0,5.0,6.0,1.0,0.255
Col1a1,0.7823029200256038,0.7306275895108676,1.536457170604722,inf,26.0,23.0,28.0,1.0,0.7035294117647058
Rab27b,0.8361319470102305,0.7884036188433309,0.7018893624301045,inf,1.0,1.0,2.0,1.0,0.16676470588235295
Mesp2,0.8055305526534167,0.7484171555093716,1.0441241282213882,inf,15.0,16.0,16.0,1.0,0.48294117647058826
Bambi,0.7855241671808184,0.7395916508241634,1.4236504604877993,inf,24.0,20.0,25.0,1.0,0.6447058823529411
Nfe2,0.8123725545997152,0.753730661832172,0.8768113916886565,inf,12.0,14.0,5.0,1.0,0.3652941176470588
Cldn5,0.7992887663798346,0.7372202192593247,1.0680260564400084,inf,19.0,22.0,18.0,1.0,0.5711764705882353
Smarcd3,0.804157518868998,0.7535799195418059,1.1626633938062847,inf,17.0,15.0,20.0,1.0,0.5197058823529412
Bin2,0.8081869195905426,0.7586539929007449,1.0980992295049388,inf,14.0,10.0,19.0,1.0,0.4535294117647059
Abcc4,0.8133886919993037,0.761227769423088,1.0283312097832884,inf,9.0,9.0,15.0,1.0,0.38
Slc38a5,0.812564048093973,0.7585529994838486,0.9646263018822249,inf,10.0,11.0,12.0,1.0,0.38
Wnt5a,0.776969370403122,0.7250275568067333,1.4423885904943738,inf,27.0,28.0,26.0,1.0,0.7329411764705882
Zfp57,0.74659154551741,0.6987333875723925,1.653979443201724,inf,31.0,31.0,30.0,1.0,0.8138235294117647
Esam,0.7915796012612033,0.7379536727525461,1.2603743995422638,inf,22.0,21.0,22.0,1.0,0.6152941176470588
Tet3,0.6882419163492446,0.648489008565448,2.0362463348398996,inf,35.0,35.0,34.0,1.0,0.9020588235294118
Postn,0.8123904194147792,0.7578735133228166,0.9742431687402222,inf,11.0,12.0,13.0,1.0,0.40205882352941175
Cdh2,0.7121659552388345,0.671751144513592,1.99854672145415,inf,34.0,33.0,33.0,1.0,0.8726470588235294
Sox2,0.7683041051284175,0.7265668764486983,1.7511330319227874,inf,29.0,27.0,31.0,1.0,0.7770588235294118
Col4a1,0.7124353814850786,0.671695829961714,2.0473739872189967,inf,33.0,34.0,35.0,1.0,0.8873529411764706
Morc4,0.8332727984973624,0.7839329896083456,0.6880623051649203,inf,2.0,2.0,1.0,1.0,0.17411764705882354
Jarid2,0.7270850136019587,0.6780310853271518,1.777255303319658,inf,32.0,32.0,32.0,1.0,0.8432352941176471
Aldh1a2,0.7847442868185266,0.7267791085722611,1.34855008509836,inf,25.0,26.0,24.0,1.0,0.6888235294117647
Tbx1,0.8167096386715742,0.7617166497213912,0.8885985910378793,inf,8.0,8.0,9.0,1.0,0.3211764705882353
Cyp26a1,0.8046039221476414,0.7422519768476826,0.8866620959722943,inf,16.0,19.0,8.0,1.0,0.4535294117647059
Igfbp3,0.7954266076461715,0.7441623028535802,1.2376312602060053,inf,20.0,17.0,21.0,1.0,0.5638235294117647
Lefty1,0.8113163105362379,0.7541987645865246,0.938903498954656,inf,13.0,13.0,11.0,1.0,0.40941176470588236
Socs2,0.8286478785393211,0.7805996555016605,0.8637221449989549,inf,3.0,3.0,4.0,1.0,0.21088235294117647
Hoxb4,0.7751844132657092,0.7248735977475276,1.4966662157942217,inf,28.0,29.0,27.0,1.0,0.755
Pitx1,0.78925219914929,0.7298813673598928,1.3310533611628261,inf,23.0,25.0,23.0,1.0,0.6594117647058824
Nr1d1,0.823053200314149,0.7726526413344819,0.8864068958758903,inf,4.0,4.0,7.0,1.0,0.24764705882352941
Coro1a,0.8167930922483073,0.7631535682691152,0.8983722735369815,inf,7.0,7.0,10.0,1.0,0.3138235294117647
Irx5,0.7947502682321856,0.7305296790490021,1.04904133066443,inf,21.0,24.0,17.0,1.0,0.5932352941176471
Ash2l,0.7547479367053447,0.7058326099859791,1.5776592601797763,inf,30.0,30.0,29.0,1.0,0.7917647058823529
Dnmt3l,0.8189648775293185,0.7642300895304664,0.8211934786279649,inf,6.0,6.0,3.0,1.0,0.24764705882352941
Bmi1,0.8012657021702779,0.7439155298720065,1.0267946904757015,inf,18.0,18.0,14.0,1.0,0.505
