,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Car7,0.4174795448843342,0.3340691679399434,3.351073367250881,inf,11.0,12.0,8.0,1.0,0.23529411764705882
Col1a1,0.3822267736670688,0.2919755123637517,5.51774276645578,inf,23.0,24.0,27.0,1.0,0.5514705882352942
Rab27b,0.39310651709390576,0.35471641428604933,2.6935260646709587,inf,21.0,4.0,2.0,1.0,0.20588235294117646
Mesp2,0.42226077388189487,0.3333351951872564,3.8090313393422632,inf,7.0,13.0,16.0,1.0,0.27205882352941174
Bambi,0.3777091765490386,0.2766324538064229,5.38139243727188,inf,24.0,26.0,25.0,1.0,0.5588235294117647
Nfe2,0.4367278300788308,0.35906685191119697,3.142802655057885,inf,3.0,3.0,5.0,1.0,0.08823529411764706
Cldn5,0.40484189324254877,0.32394261869112306,3.8919728919317587,inf,14.0,16.0,18.0,1.0,0.3602941176470588
Smarcd3,0.3945802302591382,0.3033122258767678,4.340284400614833,inf,19.0,22.0,20.0,1.0,0.45588235294117646
Bin2,0.41788727323316394,0.33733492125756953,4.145056502211534,inf,10.0,9.0,19.0,1.0,0.2867647058823529
Abcc4,0.42322829997673966,0.3350284801197925,3.8402449473712554,inf,6.0,11.0,17.0,1.0,0.25735294117647056
Slc38a5,0.40020864507855236,0.3208537481155438,3.516591687320881,inf,17.0,17.0,12.0,1.0,0.34558823529411764
Wnt5a,0.3677811037839627,0.27162347950952237,5.387027118266351,inf,29.0,27.0,26.0,1.0,0.6102941176470589
Zfp57,0.3737542566800226,0.24900637082515914,5.9254719279980534,inf,27.0,30.0,30.0,1.0,0.6470588235294118
Esam,0.393677577400471,0.310589733041324,4.612755747627613,inf,20.0,19.0,21.0,1.0,0.4485294117647059
Tet3,0.2848270702192739,0.16932896176789428,7.556034620736441,inf,35.0,35.0,34.0,1.0,0.7720588235294118
Postn,0.3852193909822481,0.30931960190272084,3.6916273348749553,inf,22.0,20.0,13.0,1.0,0.4117647058823529
Cdh2,0.32217582513713744,0.19940826293594635,7.3585766078711,inf,33.0,34.0,33.0,1.0,0.7426470588235294
Sox2,0.35047410231788717,0.24812759780374602,6.585387672770474,inf,31.0,31.0,32.0,1.0,0.6985294117647058
Col4a1,0.3171496159362763,0.20612486962628965,7.6268301163187395,inf,34.0,33.0,35.0,1.0,0.7573529411764706
Morc4,0.43743028215991914,0.37530559193227697,2.642009591883007,inf,2.0,2.0,1.0,1.0,0.04411764705882353
Jarid2,0.3270080955622435,0.22367693994048138,6.40520538926901,inf,32.0,32.0,31.0,1.0,0.7058823529411765
Aldh1a2,0.37721202488596584,0.29290616934258,4.802905986847211,inf,26.0,23.0,24.0,1.0,0.5441176470588235
Tbx1,0.4058514400292992,0.3330437484311367,3.3536377598583718,inf,13.0,14.0,9.0,1.0,0.27205882352941174
Cyp26a1,0.4468678739602009,0.35238068571957276,3.130076091551074,inf,1.0,5.0,4.0,1.0,0.08088235294117647
Igfbp3,0.3720581294128122,0.28257489595557145,4.755574892464775,inf,28.0,25.0,22.0,1.0,0.5588235294117647
Lefty1,0.42585386396487646,0.34629020412439876,3.408542205632891,inf,4.0,6.0,11.0,1.0,0.16176470588235295
Socs2,0.4209456895978357,0.3434596698615142,3.3091413981704885,inf,9.0,7.0,7.0,1.0,0.17647058823529413
Hoxb4,0.3775989037248043,0.26776163213887355,5.577828597214814,inf,25.0,28.0,28.0,1.0,0.6029411764705882
Pitx1,0.3990027443049957,0.30425560480811603,4.764002033921125,inf,18.0,21.0,23.0,1.0,0.4632352941176471
Nr1d1,0.421326346784234,0.33528207843524205,3.2046222093170798,inf,8.0,10.0,6.0,1.0,0.18382352941176472
Coro1a,0.4010132469326944,0.33748395474997245,3.36934816458409,inf,15.0,8.0,10.0,1.0,0.25
Irx5,0.4007649740659792,0.3315801983801462,3.7042484917774687,inf,16.0,15.0,14.0,1.0,0.3382352941176471
Ash2l,0.3595174761451422,0.24921080804658546,5.6840172392367805,inf,30.0,29.0,29.0,1.0,0.6544117647058824
Dnmt3l,0.4232373173324389,0.38842872393607847,3.0145683894401962,inf,5.0,1.0,3.0,1.0,0.07352941176470588
Bmi1,0.40960341026706587,0.3181578588828975,3.709779979450495,inf,12.0,18.0,15.0,1.0,0.3382352941176471
