,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Car7,0.6030258803219778,0.5643982739547053,1.9198968179089,inf,11.0,9.0,6.0,1.0,0.19852941176470587
Col1a1,0.5683328355512173,0.5010877504788545,3.395774428604897,inf,25.0,25.0,28.0,1.0,0.5808823529411765
Rab27b,0.5899913654569826,0.5733324678198118,1.5881194691574678,inf,16.0,5.0,2.0,1.0,0.17647058823529413
Mesp2,0.6389277179111206,0.6098417637833964,2.1674052956260126,inf,1.0,1.0,14.0,1.0,0.125
Bambi,0.5572196267099875,0.4824143996844555,3.2409889266603837,inf,27.0,28.0,26.0,1.0,0.6029411764705882
Nfe2,0.6097181942327831,0.5683692627567464,1.9394284876135437,inf,8.0,6.0,7.0,1.0,0.16176470588235295
Cldn5,0.6144377283982182,0.5673954095111943,2.3019535501993347,inf,6.0,7.0,17.0,1.0,0.22794117647058823
Smarcd3,0.5898054219785674,0.525553882825074,2.6610350038877524,inf,17.0,20.0,20.0,1.0,0.4264705882352941
Bin2,0.582655461612948,0.5294761139075106,2.524753342013267,inf,19.0,19.0,19.0,1.0,0.4264705882352941
Abcc4,0.6025108838968306,0.5400174609968559,2.3634291656215383,inf,12.0,18.0,18.0,1.0,0.3602941176470588
Slc38a5,0.6244116499362419,0.5647206645999944,2.1427851563336366,inf,3.0,8.0,13.0,1.0,0.18382352941176472
Wnt5a,0.5518847625911938,0.4919092522285011,3.100020902228268,inf,28.0,27.0,25.0,1.0,0.5955882352941176
Zfp57,0.5275792317172773,0.44824740164447163,3.6070738900484307,inf,30.0,31.0,30.0,1.0,0.6764705882352942
Esam,0.580480466705202,0.5104722188286772,2.856837902216462,inf,21.0,24.0,22.0,1.0,0.5
Tet3,0.44765303149038244,0.35516108385769185,4.497313465100097,inf,35.0,35.0,34.0,1.0,0.7720588235294118
Postn,0.6122110922818073,0.5581043494789011,2.140051628226472,inf,7.0,11.0,12.0,1.0,0.22794117647058823
Cdh2,0.4772144465455572,0.3868310248616103,4.404190675317436,inf,34.0,33.0,33.0,1.0,0.7426470588235294
Sox2,0.5250232195053164,0.45142981896870077,3.9233598150961204,inf,31.0,30.0,32.0,1.0,0.6911764705882353
Col4a1,0.4797051979299361,0.38243368909988984,4.618410580976274,inf,33.0,34.0,35.0,1.0,0.7573529411764706
Morc4,0.6090175629142128,0.574366135009695,1.5631431086355387,inf,9.0,4.0,1.0,1.0,0.11029411764705882
Jarid2,0.5176327486260538,0.438806096472754,3.7338213579677073,inf,32.0,32.0,31.0,1.0,0.7058823529411765
Aldh1a2,0.5738901606703355,0.52035057937975,2.942018044459564,inf,22.0,21.0,24.0,1.0,0.5
Tbx1,0.5966759319007917,0.5561846273210439,1.984932987651984,inf,14.0,13.0,8.0,1.0,0.2647058823529412
Cyp26a1,0.6089855459983408,0.5629558698428374,1.8939635920904814,inf,10.0,10.0,4.0,1.0,0.18382352941176472
Igfbp3,0.5691309559809294,0.5148988563060825,2.740148578412168,inf,24.0,22.0,21.0,1.0,0.5
Lefty1,0.5828451929630106,0.5439913440740445,2.007448330092983,inf,18.0,16.0,10.0,1.0,0.33088235294117646
Socs2,0.6263232556726328,0.5783257602363734,1.9104417294068814,inf,2.0,3.0,5.0,1.0,0.08088235294117647
Hoxb4,0.567884063536309,0.4944144710328994,3.2987321942664645,inf,26.0,26.0,27.0,1.0,0.5882352941176471
Pitx1,0.5731717565829724,0.5137470640432439,2.9263579974249536,inf,23.0,23.0,23.0,1.0,0.5147058823529411
Nr1d1,0.6186953761582648,0.557687971207868,2.0439837608766465,inf,4.0,12.0,11.0,1.0,0.20588235294117646
Coro1a,0.59823763656192,0.552824141512632,1.9890048913075469,inf,13.0,14.0,9.0,1.0,0.27205882352941174
Irx5,0.5817129087369264,0.5461989543357761,2.2691349665372806,inf,20.0,15.0,16.0,1.0,0.38235294117647056
Ash2l,0.5444162366184306,0.4698864170544413,3.422110169182386,inf,29.0,29.0,29.0,1.0,0.6470588235294118
Dnmt3l,0.6162746705199309,0.5802469254938779,1.7804801456086201,inf,5.0,2.0,3.0,1.0,0.08088235294117647
Bmi1,0.5961404148425593,0.5419771220887379,2.2463423845488415,inf,15.0,17.0,15.0,1.0,0.35294117647058826
