,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Car7,0.4447253204747521,0.3781540287544969,3.130275024243588,inf,7.0,4.0,8.0,1.0,0.14705882352941177
Col1a1,0.4064814726427854,0.3157082892522291,5.320438635566329,inf,22.0,25.0,28.0,1.0,0.5588235294117647
Rab27b,0.4533606067586546,0.39022692174608864,2.5321254384898575,inf,4.0,2.0,2.0,1.0,0.0661764705882353
Mesp2,0.45028607874503884,0.371843223204595,3.5257460610579634,inf,5.0,5.0,15.0,1.0,0.19117647058823528
Bambi,0.37544297126371234,0.2789960717330644,5.102021547550102,inf,29.0,28.0,26.0,1.0,0.6176470588235294
Nfe2,0.42769279208749844,0.35896706279687507,3.04185626123793,inf,16.0,11.0,6.0,1.0,0.25
Cldn5,0.4277092316640092,0.3403266605462061,3.6871030548911303,inf,15.0,18.0,18.0,1.0,0.38235294117647056
Smarcd3,0.40942834371074194,0.32568643636087224,4.0623594617379775,inf,21.0,23.0,20.0,1.0,0.47794117647058826
Bin2,0.4356730020803972,0.33577742764268526,3.888625976199943,inf,11.0,21.0,19.0,1.0,0.38235294117647056
Abcc4,0.44312022299096965,0.34989222097701067,3.608371622051909,inf,8.0,14.0,17.0,1.0,0.29411764705882354
Slc38a5,0.42491422881329377,0.35539939799606846,3.292620225897315,inf,18.0,13.0,12.0,1.0,0.3235294117647059
Wnt5a,0.40237759887891583,0.30221355634726693,4.950307106535473,inf,25.0,26.0,25.0,1.0,0.5661764705882353
Zfp57,0.3683101647966818,0.26536610726422327,5.524162045944768,inf,30.0,30.0,30.0,1.0,0.6691176470588235
Esam,0.42590901708966894,0.3286411231525214,4.359209958295862,inf,17.0,22.0,22.0,1.0,0.45588235294117646
Tet3,0.30745123861801626,0.19432214512357743,7.135717752420261,inf,35.0,35.0,33.0,1.0,0.7647058823529411
Postn,0.4418011782463644,0.3695762708808149,3.339805692570832,inf,10.0,7.0,13.0,1.0,0.22794117647058823
Cdh2,0.3191221117538608,0.20417923983331024,7.173388083357771,inf,34.0,34.0,34.0,1.0,0.7573529411764706
Sox2,0.345260569564208,0.25712235054898896,6.210353586321271,inf,32.0,31.0,32.0,1.0,0.7058823529411765
Col4a1,0.3251873102265799,0.2144329342170013,7.205586419145271,inf,33.0,33.0,35.0,1.0,0.75
Morc4,0.4328141297566038,0.3805501304963688,2.434170878870381,inf,14.0,3.0,1.0,1.0,0.13970588235294118
Jarid2,0.35206434300579426,0.24651738495844355,5.996832326221714,inf,31.0,32.0,31.0,1.0,0.6985294117647058
Aldh1a2,0.42298663849301366,0.34374682009740337,4.60761106172583,inf,19.0,16.0,24.0,1.0,0.4411764705882353
Tbx1,0.4344729387206289,0.3587780203575523,3.0784610250485778,inf,12.0,12.0,7.0,1.0,0.23529411764705882
Cyp26a1,0.4448564896005552,0.37132631194191057,2.9506159360964013,inf,6.0,6.0,4.0,1.0,0.125
Igfbp3,0.44227687465743915,0.3395609234443367,4.191487425525434,inf,9.0,19.0,21.0,1.0,0.36764705882352944
Lefty1,0.4556811245497062,0.3687855847598913,3.2618765800993557,inf,3.0,8.0,11.0,1.0,0.16911764705882354
Socs2,0.433329143974883,0.3626026202079167,2.9846558451782386,inf,13.0,10.0,5.0,1.0,0.21323529411764705
Hoxb4,0.38190877432569564,0.29547237921728126,5.185607340486526,inf,28.0,27.0,27.0,1.0,0.6102941176470589
Pitx1,0.3939931087521551,0.3165709953364609,4.459368858266621,inf,27.0,24.0,23.0,1.0,0.5514705882352942
Nr1d1,0.40292406715491935,0.3370273273215689,3.148794395543066,inf,23.0,20.0,10.0,1.0,0.39705882352941174
Coro1a,0.402847704197778,0.34295787732065214,3.1366710777948787,inf,24.0,17.0,9.0,1.0,0.375
Irx5,0.4140289252268186,0.34741186078425995,3.5666814645376803,inf,20.0,15.0,16.0,1.0,0.38235294117647056
Ash2l,0.39545776367114543,0.27542555257361434,5.50084639086877,inf,26.0,29.0,29.0,1.0,0.625
Dnmt3l,0.4945861275225062,0.414320657664864,2.8369121620349067,inf,1.0,1.0,3.0,1.0,0.04411764705882353
Bmi1,0.4617349960064591,0.36696107222204866,3.460391201615847,inf,2.0,9.0,14.0,1.0,0.19117647058823528
