,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Car7,0.29712067440873086,0.21659197178841647,4.518159297343702,inf,14.0,12.0,5.0,1.0,0.23529411764705882
Col1a1,0.28122991276059267,0.18219778493439523,8.09028864002065,inf,19.0,24.0,28.0,1.0,0.5294117647058824
Rab27b,0.3008578497299439,0.24273454661302163,3.7954697248804368,inf,11.0,4.0,2.0,1.0,0.1323529411764706
Mesp2,0.31905828424273575,0.2580024209236713,5.556573812807335,inf,7.0,1.0,18.0,1.0,0.19852941176470587
Bambi,0.2512639090361154,0.1590710216641846,7.69192219741132,inf,31.0,28.0,26.0,1.0,0.6323529411764706
Nfe2,0.31967433666932116,0.23439464716284247,4.5147823247783085,inf,6.0,5.0,4.0,1.0,0.11764705882352941
Cldn5,0.2919736229512586,0.22004369375519392,5.318657248459475,inf,16.0,11.0,16.0,1.0,0.3235294117647059
Smarcd3,0.2982637967656812,0.2162677689621618,6.152010029049889,inf,12.0,13.0,20.0,1.0,0.3382352941176471
Bin2,0.3111491890843852,0.2259251275595918,5.739839420557568,inf,9.0,9.0,19.0,1.0,0.27941176470588236
Abcc4,0.3253308199961705,0.215116226358005,5.429271925778301,inf,2.0,14.0,17.0,1.0,0.25
Slc38a5,0.29678125165481845,0.21249956424184552,5.077613644152986,inf,15.0,16.0,12.0,1.0,0.3235294117647059
Wnt5a,0.27898775640981566,0.18473701830135683,7.2737832744139315,inf,20.0,23.0,25.0,1.0,0.5073529411764706
Zfp57,0.251242970402383,0.14756377004917925,8.476794190408572,inf,32.0,31.0,30.0,1.0,0.6911764705882353
Esam,0.2778067037873388,0.17902086123744998,6.58793963809772,inf,22.0,25.0,21.0,1.0,0.5073529411764706
Tet3,0.2088675886354288,0.10434039854919157,10.668119430011838,inf,34.0,35.0,34.0,1.0,0.7647058823529411
Postn,0.3012754757276715,0.2551299144404321,5.111725845097181,inf,10.0,2.0,13.0,1.0,0.19117647058823528
Cdh2,0.2066885584912055,0.11006737040741181,10.536705650090026,inf,35.0,34.0,33.0,1.0,0.7573529411764706
Sox2,0.2620236626454502,0.15395229789539222,9.341152895025342,inf,27.0,29.0,32.0,1.0,0.6544117647058824
Col4a1,0.2203174701386715,0.12071328047372963,10.668457070789295,inf,33.0,33.0,35.0,1.0,0.75
Morc4,0.3223767736993473,0.2541584215875037,3.6660205147217875,inf,4.0,3.0,1.0,1.0,0.0661764705882353
Jarid2,0.2575690973918648,0.14074004858314385,9.061141466118357,inf,30.0,32.0,31.0,1.0,0.6911764705882353
Aldh1a2,0.2759121529614073,0.17893353574079257,6.971296692018266,inf,23.0,26.0,24.0,1.0,0.5441176470588235
Tbx1,0.28922580313437884,0.20615922389473013,4.79905371037917,inf,17.0,19.0,11.0,1.0,0.35294117647058826
Cyp26a1,0.27799943762593976,0.21130979065626734,4.521247674959773,inf,21.0,17.0,6.0,1.0,0.33088235294117646
Igfbp3,0.2616843078794036,0.186671975599988,6.783945081894822,inf,29.0,22.0,23.0,1.0,0.5514705882352942
Lefty1,0.3317268719107014,0.2332656770570502,4.701356758713637,inf,1.0,6.0,9.0,1.0,0.125
Socs2,0.3130595544764559,0.23302802897085634,4.59951725223165,inf,8.0,7.0,7.0,1.0,0.16911764705882354
Hoxb4,0.2704647933973315,0.16675604282863093,7.754356066191916,inf,26.0,27.0,27.0,1.0,0.5955882352941176
Pitx1,0.2728502829168107,0.19169888836044408,6.706426159805738,inf,25.0,21.0,22.0,1.0,0.5073529411764706
Nr1d1,0.2753395168652695,0.21049386397617675,4.724560125072843,inf,24.0,18.0,10.0,1.0,0.3897058823529412
Coro1a,0.2859287734433766,0.20429092380233718,4.672435192794991,inf,18.0,20.0,8.0,1.0,0.34558823529411764
Irx5,0.32370484133887867,0.22760468418331894,5.1634941484700665,inf,3.0,8.0,15.0,1.0,0.19852941176470587
Ash2l,0.2618593203833266,0.15088350194789316,8.222256021706373,inf,28.0,30.0,29.0,1.0,0.6470588235294118
Dnmt3l,0.29722173056749013,0.21409513243200942,4.29390497230924,inf,13.0,15.0,3.0,1.0,0.23529411764705882
Bmi1,0.31993662161943703,0.22157381102486293,5.158476286794446,inf,5.0,10.0,14.0,1.0,0.22058823529411764
