,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Car7,0.5160127963104634,0.4774860524688639,2.336035267567162,inf,17.0,9.0,7.0,1.0,0.25
Col1a1,0.48164426380198183,0.40345781773731226,4.049571247149309,inf,27.0,27.0,28.0,1.0,0.6102941176470589
Rab27b,0.5598244660705034,0.5125815953648698,1.8566107647618575,inf,1.0,1.0,1.0,1.0,0.029411764705882353
Mesp2,0.5203910809242936,0.463342580599921,2.7052515407713145,inf,15.0,16.0,16.0,1.0,0.35294117647058826
Bambi,0.4919212772377589,0.40726875567504073,3.8539476860682496,inf,25.0,25.0,26.0,1.0,0.5661764705882353
Nfe2,0.5511523851565918,0.5031082213652055,2.2241780174866226,inf,3.0,2.0,3.0,1.0,0.0661764705882353
Cldn5,0.5296776168375084,0.48234970719240133,2.754908678293967,inf,11.0,5.0,18.0,1.0,0.25735294117647056
Smarcd3,0.5081992470646762,0.4330317218404366,3.1652501488616482,inf,20.0,23.0,20.0,1.0,0.47058823529411764
Bin2,0.5430317431990008,0.4734435666512673,2.8718689612769532,inf,8.0,10.0,19.0,1.0,0.27941176470588236
Abcc4,0.5466064353677824,0.46992967214186926,2.7293766885102038,inf,6.0,12.0,17.0,1.0,0.2647058823529412
Slc38a5,0.5475659651603462,0.48100755528149536,2.532679207469797,inf,5.0,6.0,12.0,1.0,0.17647058823529413
Wnt5a,0.4791198904214481,0.3951415853634596,3.845938253060669,inf,28.0,28.0,25.0,1.0,0.6029411764705882
Zfp57,0.4323359906642535,0.34959808855407465,4.342217925110569,inf,32.0,32.0,30.0,1.0,0.6985294117647058
Esam,0.5045457900822758,0.4277512954399387,3.381412143364497,inf,23.0,24.0,22.0,1.0,0.5147058823529411
Tet3,0.39792881110897066,0.2899720495988438,5.346810066702256,inf,34.0,35.0,33.0,1.0,0.7573529411764706
Postn,0.5227084013648053,0.45417939318623407,2.6381588108342235,inf,13.0,20.0,14.0,1.0,0.35294117647058826
Cdh2,0.39063202156171895,0.29173951954682853,5.415133053234084,inf,35.0,34.0,35.0,1.0,0.7720588235294118
Sox2,0.46055045244897436,0.3696888517730233,4.752032528102637,inf,30.0,30.0,32.0,1.0,0.6838235294117647
Col4a1,0.42270878343323076,0.31761946464410523,5.404825162137821,inf,33.0,33.0,34.0,1.0,0.7426470588235294
Morc4,0.5051254068115411,0.4637990902534348,1.8888035620748034,inf,21.0,15.0,2.0,1.0,0.2867647058823529
Jarid2,0.45464933969957744,0.35952845018874885,4.555106353665378,inf,31.0,31.0,31.0,1.0,0.6911764705882353
Aldh1a2,0.5418979815977801,0.4568102369865353,3.4773903836332383,inf,9.0,19.0,23.0,1.0,0.38235294117647056
Tbx1,0.5523992215520702,0.5025719144038984,2.303512796517089,inf,2.0,3.0,5.0,1.0,0.08088235294117647
Cyp26a1,0.5021775861628298,0.4568959002052449,2.309087678999144,inf,24.0,18.0,6.0,1.0,0.3602941176470588
Igfbp3,0.5148936450452067,0.43559382734151925,3.268990231868933,inf,19.0,22.0,21.0,1.0,0.4632352941176471
Lefty1,0.548154662970758,0.4802610091270158,2.4380279013734385,inf,4.0,7.0,10.0,1.0,0.16176470588235295
Socs2,0.5050159738263157,0.46716567410197307,2.45066421368583,inf,22.0,14.0,11.0,1.0,0.35294117647058826
Hoxb4,0.48557533478012505,0.40664991316211263,3.9008526560854855,inf,26.0,26.0,27.0,1.0,0.5882352941176471
Pitx1,0.5225018808943862,0.4534800638594841,3.532291173386702,inf,14.0,21.0,24.0,1.0,0.4411764705882353
Nr1d1,0.5176131786068356,0.45960632986761235,2.4259278466855685,inf,16.0,17.0,9.0,1.0,0.3161764705882353
Coro1a,0.5246622394065515,0.5001151734649438,2.3609818819385664,inf,12.0,4.0,8.0,1.0,0.18382352941176472
Irx5,0.5442661736648806,0.47965551555697433,2.5860842839963416,inf,7.0,8.0,13.0,1.0,0.21323529411764705
Ash2l,0.4756900029751339,0.3940897438892172,4.110013724565379,inf,29.0,29.0,29.0,1.0,0.6470588235294118
Dnmt3l,0.5152077831542324,0.4688522511594835,2.2253502766348445,inf,18.0,13.0,4.0,1.0,0.2647058823529412
Bmi1,0.5304411960001151,0.46993402448807836,2.6792409364236236,inf,10.0,11.0,15.0,1.0,0.27205882352941174
