,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Car7,0.49852524535772447,0.4311888251150912,2.6613770717148424,inf,6.0,7.0,8.0,1.0,0.16176470588235295
Col1a1,0.4551373614043193,0.36601206878965636,4.673173336028635,inf,23.0,25.0,28.0,1.0,0.5661764705882353
Rab27b,0.518570128478626,0.4537508075049631,2.151948693580508,inf,1.0,1.0,2.0,1.0,0.03676470588235294
Mesp2,0.4896268687554617,0.42449106335043335,2.9804018168615185,inf,11.0,9.0,14.0,1.0,0.25735294117647056
Bambi,0.4304113705971703,0.3419192257004915,4.438058041441457,inf,27.0,28.0,26.0,1.0,0.6029411764705882
Nfe2,0.5109864413915178,0.4393432618797479,2.6304334654399346,inf,3.0,4.0,5.0,1.0,0.09558823529411764
Cldn5,0.49017791034552316,0.4169576231755758,3.084926319536483,inf,10.0,13.0,17.0,1.0,0.3014705882352941
Smarcd3,0.4209536655969639,0.35302351434254015,3.597960572375357,inf,30.0,27.0,20.0,1.0,0.5735294117647058
Bin2,0.462815856015218,0.3970721533969254,3.3701710147973394,inf,21.0,19.0,19.0,1.0,0.4411764705882353
Abcc4,0.4834482080479602,0.4099333780413907,3.0796698752212035,inf,16.0,15.0,16.0,1.0,0.35294117647058826
Slc38a5,0.4909984496363633,0.4116951102256354,2.877142853186295,inf,9.0,14.0,12.0,1.0,0.2647058823529412
Wnt5a,0.45744562909958286,0.3684234410580044,4.275892937221229,inf,22.0,24.0,25.0,1.0,0.5294117647058824
Zfp57,0.41088051903675493,0.3166424507306074,4.98641317362711,inf,32.0,31.0,30.0,1.0,0.6911764705882353
Esam,0.47034947186223497,0.388215751238069,3.721615141644461,inf,18.0,21.0,21.0,1.0,0.4485294117647059
Tet3,0.35526571685671643,0.2425451215400268,6.051033604060597,inf,35.0,35.0,33.0,1.0,0.7647058823529411
Postn,0.4657412242477914,0.4038979351228677,2.8977535374106855,inf,20.0,17.0,13.0,1.0,0.375
Cdh2,0.36163208301750055,0.2534932930382735,6.061036705159452,inf,34.0,34.0,34.0,1.0,0.7573529411764706
Sox2,0.42442184907883534,0.32436229234159947,5.371523906769948,inf,28.0,29.0,32.0,1.0,0.6617647058823529
Col4a1,0.3826254968192067,0.2676739387080355,6.165451856073634,inf,33.0,33.0,35.0,1.0,0.75
Morc4,0.4681285340816716,0.420208788711456,2.149083092800928,inf,19.0,10.0,1.0,1.0,0.22794117647058823
Jarid2,0.4137322732026087,0.31166470773483895,5.146395945492005,inf,31.0,32.0,31.0,1.0,0.6985294117647058
Aldh1a2,0.44694570875343415,0.37827200066292344,3.861559163131191,inf,26.0,23.0,23.0,1.0,0.5367647058823529
Tbx1,0.5017403608045351,0.43349236066706276,2.7105610653897934,inf,5.0,6.0,9.0,1.0,0.15441176470588236
Cyp26a1,0.4891399579564955,0.4179028185912665,2.5913937839473697,inf,13.0,12.0,4.0,1.0,0.22058823529411764
Igfbp3,0.47186683731259677,0.38390813218856223,3.766862561735281,inf,17.0,22.0,22.0,1.0,0.45588235294117646
Lefty1,0.49124346974490546,0.42779031429148656,2.797552599507478,inf,8.0,8.0,11.0,1.0,0.20588235294117646
Socs2,0.5121035179729447,0.43574397868976933,2.6327891937536205,inf,2.0,5.0,6.0,1.0,0.10294117647058823
Hoxb4,0.4497913848178313,0.35792971451200534,4.506862448777645,inf,24.0,26.0,27.0,1.0,0.5735294117647058
Pitx1,0.48534082364878867,0.4023368842036019,3.982951106084768,inf,15.0,18.0,24.0,1.0,0.4264705882352941
Nr1d1,0.4941365589917888,0.419700435341794,2.7562279913056322,inf,7.0,11.0,10.0,1.0,0.21323529411764705
Coro1a,0.4893525599771336,0.4413603139089339,2.6504590305380376,inf,12.0,3.0,7.0,1.0,0.16911764705882354
Irx5,0.4469591382724607,0.3899600233004137,3.0922249771910146,inf,25.0,20.0,18.0,1.0,0.47058823529411764
Ash2l,0.42177742648047406,0.31977285527618676,4.6765255109173705,inf,29.0,30.0,29.0,1.0,0.6544117647058824
Dnmt3l,0.5086638600970032,0.447467879706273,2.359766109687998,inf,4.0,2.0,3.0,1.0,0.07352941176470588
Bmi1,0.48620537126474533,0.40927579491829136,3.0580176186021495,inf,14.0,16.0,15.0,1.0,0.3382352941176471
