,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Car7,0.2904084747373688,0.2211014134522411,4.44682188327813,inf,22.0,17.0,7.0,1.0,0.34558823529411764
Col1a1,0.3082987686244538,0.20884891454258223,7.719305458279917,inf,12.0,24.0,29.0,1.0,0.4852941176470588
Rab27b,0.3326308872284252,0.3338798651280959,3.5576941293671656,inf,5.0,1.0,1.0,1.0,0.058823529411764705
Mesp2,0.29897776553398364,0.2489913449009762,5.051826218878874,inf,18.0,8.0,16.0,1.0,0.3161764705882353
Bambi,0.28383759792583413,0.18324904919215657,7.154148242667431,inf,25.0,27.0,26.0,1.0,0.5808823529411765
Nfe2,0.33065753067235854,0.2608087332031744,4.235576701335219,inf,6.0,5.0,4.0,1.0,0.11764705882352941
Cldn5,0.3247951081906403,0.2343921554889554,5.023844432310292,inf,8.0,12.0,15.0,1.0,0.2647058823529412
Smarcd3,0.30268920801708055,0.21345976184425688,5.940298690268138,inf,17.0,20.0,20.0,1.0,0.4264705882352941
Bin2,0.2922429883148442,0.2056137944397027,5.640020928412617,inf,21.0,25.0,19.0,1.0,0.4852941176470588
Abcc4,0.3038324329163268,0.21847878145150176,5.2723372492169425,inf,16.0,19.0,18.0,1.0,0.39705882352941174
Slc38a5,0.3600282854985987,0.26784835264827983,4.6531712410828705,inf,2.0,4.0,12.0,1.0,0.13970588235294118
Wnt5a,0.2959684325009889,0.22612042790987782,7.122234739152692,inf,20.0,15.0,25.0,1.0,0.4485294117647059
Zfp57,0.26796690041811266,0.1640124387464034,8.240972639232655,inf,30.0,30.0,30.0,1.0,0.6691176470588235
Esam,0.3089544956328122,0.21964605724997693,6.265005194924027,inf,11.0,18.0,22.0,1.0,0.38235294117647056
Tet3,0.21045960305564357,0.10859293011568298,10.313448435009388,inf,35.0,35.0,35.0,1.0,0.7794117647058824
Postn,0.33479494234523854,0.2439630931404999,4.841658939236261,inf,4.0,9.0,13.0,1.0,0.19852941176470587
Cdh2,0.23427625770645658,0.12650052227377206,9.970861164987149,inf,34.0,34.0,33.0,1.0,0.75
Sox2,0.27319140562372846,0.16108249927638868,9.028304215714009,inf,29.0,31.0,32.0,1.0,0.6838235294117647
Col4a1,0.2448054043701672,0.13492310051214848,10.241671621068036,inf,33.0,33.0,34.0,1.0,0.7426470588235294
Morc4,0.33573264499971867,0.2734056096519017,3.5861500384718843,inf,3.0,3.0,2.0,1.0,0.0661764705882353
Jarid2,0.2658904912139632,0.14908780874667968,8.56082965043937,inf,31.0,32.0,31.0,1.0,0.6985294117647058
Aldh1a2,0.2788031822117442,0.20004689417114466,6.6157354162222575,inf,28.0,26.0,24.0,1.0,0.5808823529411765
Tbx1,0.3042515828216082,0.2570923735468624,4.291099782977111,inf,15.0,6.0,6.0,1.0,0.20588235294117646
Cyp26a1,0.30572190958982204,0.2534573723874348,4.241144183909479,inf,14.0,7.0,5.0,1.0,0.19852941176470587
Igfbp3,0.2972834559975679,0.20999068749480412,6.111616973277938,inf,19.0,22.0,21.0,1.0,0.4632352941176471
Lefty1,0.3906698711759103,0.2803165296754401,4.53956909762497,inf,1.0,2.0,11.0,1.0,0.11029411764705882
Socs2,0.282154187370511,0.2132371469989908,4.524075025095891,inf,26.0,21.0,9.0,1.0,0.41911764705882354
Hoxb4,0.2851540166658965,0.18261250104092655,7.393485402112604,inf,24.0,28.0,27.0,1.0,0.5882352941176471
Pitx1,0.28854881320208603,0.20924898119513874,6.567221351109348,inf,23.0,23.0,23.0,1.0,0.5147058823529411
Nr1d1,0.3239514814667306,0.23664011230037976,4.531317292820528,inf,9.0,11.0,10.0,1.0,0.22794117647058823
Coro1a,0.31835305551940773,0.2278693934149827,4.495921408065295,inf,10.0,14.0,8.0,1.0,0.2426470588235294
Irx5,0.32785650092828167,0.2375055543468998,5.069425651215465,inf,7.0,10.0,17.0,1.0,0.25735294117647056
Ash2l,0.2601807675849204,0.17500933205126085,7.633765581117002,inf,32.0,29.0,28.0,1.0,0.6617647058823529
Dnmt3l,0.28076328543800194,0.23278266915561951,4.128738424988076,inf,27.0,13.0,3.0,1.0,0.3235294117647059
Bmi1,0.3072155257058284,0.2239694990481531,5.0152475707818605,inf,13.0,16.0,14.0,1.0,0.3235294117647059
