,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Car7,0.34900054756427223,0.2504431080557085,4.165246990343814,inf,8.0,15.0,6.0,1.0,0.22058823529411764
Col1a1,0.29657591105557224,0.21138812598227968,7.034453469386944,inf,29.0,25.0,28.0,1.0,0.6102941176470589
Rab27b,0.35525422564339665,0.293818104785528,3.473055165781071,inf,6.0,2.0,2.0,1.0,0.08088235294117647
Mesp2,0.39771881389439484,0.27856300739154916,4.712309942990701,inf,1.0,6.0,17.0,1.0,0.18382352941176472
Bambi,0.3201382987893628,0.20824772856790844,6.687700545041445,inf,22.0,26.0,26.0,1.0,0.5514705882352942
Nfe2,0.3323533987987898,0.25296220386613,4.08013633979643,inf,17.0,13.0,5.0,1.0,0.2647058823529412
Cldn5,0.320013921324037,0.2577599181151147,4.947378715887509,inf,23.0,12.0,18.0,1.0,0.39705882352941174
Smarcd3,0.31218873873723285,0.2261374838754509,5.356881757996279,inf,25.0,21.0,20.0,1.0,0.49264705882352944
Bin2,0.3443114871337055,0.23641142503200446,5.170001486824312,inf,10.0,19.0,19.0,1.0,0.3602941176470588
Abcc4,0.3450253342734515,0.24747720995709585,4.702900506484482,inf,9.0,16.0,16.0,1.0,0.3088235294117647
Slc38a5,0.3267224452287357,0.26787306011608203,4.40057244151651,inf,19.0,10.0,12.0,1.0,0.3088235294117647
Wnt5a,0.3217073861114058,0.20386379458456017,6.635842610681323,inf,21.0,27.0,25.0,1.0,0.5441176470588235
Zfp57,0.28697123758330934,0.18377188688116985,7.679279177975963,inf,31.0,31.0,30.0,1.0,0.6838235294117647
Esam,0.3159551212429564,0.21677268365232663,5.715662217270398,inf,24.0,24.0,21.0,1.0,0.5147058823529411
Tet3,0.24001653822459462,0.12797484740264006,9.49835814648397,inf,35.0,35.0,35.0,1.0,0.7794117647058824
Postn,0.34128345496782514,0.2655379322872211,4.522932412540723,inf,12.0,11.0,13.0,1.0,0.27205882352941174
Cdh2,0.2546665276630101,0.15349409842499984,9.374079972034687,inf,34.0,33.0,33.0,1.0,0.7426470588235294
Sox2,0.3034298639384114,0.186678921769667,8.357686860764401,inf,27.0,30.0,32.0,1.0,0.6617647058823529
Col4a1,0.26446198425969375,0.15276009625179604,9.405398420662907,inf,33.0,34.0,34.0,1.0,0.75
Morc4,0.3756967465932063,0.3004772738533547,3.21544387876897,inf,3.0,1.0,1.0,1.0,0.04411764705882353
Jarid2,0.2866838845817312,0.1819030182939619,8.037269255753651,inf,32.0,32.0,31.0,1.0,0.7058823529411765
Aldh1a2,0.33965093092274123,0.24299732314123457,5.98602081728195,inf,13.0,17.0,23.0,1.0,0.39705882352941174
Tbx1,0.29737179802028285,0.22477678127406656,4.196208136400162,inf,28.0,22.0,9.0,1.0,0.4411764705882353
Cyp26a1,0.3340198406812625,0.28235838569379557,4.0274328920633415,inf,15.0,4.0,4.0,1.0,0.17647058823529413
Igfbp3,0.32248645731457487,0.22015075028255005,5.727692386479468,inf,20.0,23.0,22.0,1.0,0.4852941176470588
Lefty1,0.37147047389759646,0.28178813586660967,4.171112066281443,inf,4.0,5.0,7.0,1.0,0.125
Socs2,0.3353078460929919,0.2679140085113789,4.173200781897856,inf,14.0,9.0,8.0,1.0,0.23529411764705882
Hoxb4,0.30534627431295963,0.19738873346976474,6.856016538641177,inf,26.0,29.0,27.0,1.0,0.6102941176470589
Pitx1,0.3333933050376101,0.22800249269566722,6.119675302767592,inf,16.0,20.0,24.0,1.0,0.4485294117647059
Nr1d1,0.35021859734924776,0.27530183873414393,4.21268394314118,inf,7.0,7.0,11.0,1.0,0.19117647058823528
Coro1a,0.3268702167600918,0.2516465353090865,4.210887735631107,inf,18.0,14.0,10.0,1.0,0.3161764705882353
Irx5,0.38520989193745475,0.2722731601599704,4.64568184413325,inf,2.0,8.0,14.0,1.0,0.18382352941176472
Ash2l,0.2955644091430223,0.20090684698704453,7.088440573202607,inf,30.0,28.0,29.0,1.0,0.6470588235294118
Dnmt3l,0.3590270533187714,0.28304770775283916,3.668872426252018,inf,5.0,3.0,3.0,1.0,0.08823529411764706
Bmi1,0.3425745548984983,0.24282737744910277,4.661757986795805,inf,11.0,18.0,15.0,1.0,0.33088235294117646
